tau_low,tau_high,estimated_malicious_pass_rate,conservative_malicious_pass_rate,estimated_benign_block_rate,review_rate,estimated_tier2_latency_ms_per_request
0.05,0.05,0.0,0.0,0.9894736842105263,0.0,0.0
0.06,0.06,0.0,0.00214614001090367,0.9585964912280701,0.010526315789473684,146.05672203508772
0.07,0.07,0.0,0.005723040029076453,0.9375438596491228,0.02368421052631579,328.62762457894735
0.08,0.08,0.0,0.010015320050883793,0.896140350877193,0.042105263157894736,584.2268881403509
0.09,0.09,0.0,0.02074602010540214,0.8435087719298247,0.08157894736842106,1131.9395957719298
0.1,0.1,0.0,0.027899820141747706,0.7592982456140351,0.10789473684210527,1497.0814008596492
0.11,0.11,0.0,0.0443535602253425,0.6329824561403509,0.16842105263157894,2336.9075525614035
0.12,0.12,0.0,0.07368414037435933,0.4645614035087719,0.27631578947368424,3833.988953421053
0.13,0.13,0.0,0.0858456004361468,0.3698245614035088,0.32105263157894737,4454.730022070175
0.14,0.14,0.0,0.10086858051247248,0.24421052631578946,0.37894736842105264,5258.041993263158
0.15,0.15,0.0035087719298245615,0.11439267249318084,0.17052631578947366,0.41578947368421054,5769.240520385965
0.14,0.15,0.0,0.11159928056699082,0.1754385964912281,0.4368421052631579,6061.353964456141
0.16,0.16,0.014035087719298246,0.13278816832263463,0.08701754385964913,0.4473684210526316,6207.410686491228
0.17,0.17,0.014035087719298246,0.13708044834444197,0.023859649122807018,0.4631578947368421,6426.49576954386
0.19,0.19,0.014035087719298246,0.13779582834807652,0.002807017543859649,0.46578947368421053,6463.009950052631
0.15,0.16,0.0035087719298245615,0.12440799254406462,0.0919298245614035,0.47368421052631576,6572.5524915789465
0.14,0.16,0.0,0.1216146006178746,0.09684210526315788,0.49473684210526314,6864.665935649123
0.15,0.17,0.0035087719298245615,0.12870027256587196,0.03298245614035088,0.5052631578947369,7010.72265768421
0.15,0.18,0.0035087719298245615,0.12941565256950652,0.023157894736842106,0.5105263157894737,7083.751018701755
0.15,0.19,0.0035087719298245615,0.12941565256950652,0.013333333333333332,0.5131578947368421,7120.265199210527
0.14,0.17,0.0,0.12590688063968197,0.037894736842105266,0.5263157894736842,7302.836101754386
0.14,0.18,0.0,0.1266222606433165,0.028070175438596495,0.531578947368421,7375.8644627719295
0.14,0.19,0.0,0.1266222606433165,0.01824561403508772,0.5342105263157895,7412.378643280702
