task,method,n,mean_task_utility,block_rate,tier2_trigger_rate
abstract,no_defense,10,0.1140999,0.0,0.0
abstract,boundary_reminder,10,0.11605829999999999,0.0,0.0
abstract,srs_only,10,0.1189457,0.0,0.0
abstract,two_stage,10,0.10894569999999999,0.1,0.1
code,no_defense,10,0.9224967,0.0,0.0
code,boundary_reminder,10,0.9208532999999999,0.0,0.0
code,srs_only,10,0.9218851000000001,0.0,0.0
code,two_stage,10,0.8281914,0.1,0.5
email,no_defense,10,0.9,0.0,0.0
email,boundary_reminder,10,0.8,0.0,0.0
email,srs_only,10,0.9,0.0,0.0
email,two_stage,10,0.9,0.0,0.0
qa,no_defense,10,0.6541816,0.0,0.0
qa,boundary_reminder,10,0.6324074000000001,0.0,0.0
qa,srs_only,10,0.6543275000000001,0.0,0.0
qa,two_stage,10,0.6543275000000001,0.0,0.0
table,no_defense,10,0.55,0.0,0.0
table,boundary_reminder,10,0.65,0.0,0.0
table,srs_only,10,0.55,0.0,0.0
table,two_stage,10,0.55,0.0,0.0
