dimension,group,method,paired_n,asr_difference_vs_no_defense,baseline_only_success,method_only_success,exact_mcnemar_p
task,abstract,boundary_reminder,10,-0.1,1,0,1.0
task,abstract,srs_only,10,-0.3,3,0,0.25
task,abstract,two_stage,10,-0.4,4,0,0.125
task,code,boundary_reminder,10,0.0,0,0,1.0
task,code,srs_only,10,0.0,0,0,1.0
task,code,two_stage,10,0.0,0,0,1.0
task,email,boundary_reminder,10,0.1,0,1,1.0
task,email,srs_only,10,-0.2,2,0,0.5
task,email,two_stage,10,-0.2,2,0,0.5
task,qa,boundary_reminder,10,0.0,0,0,1.0
task,qa,srs_only,10,-0.3,3,0,0.25
task,qa,two_stage,10,-0.3,3,0,0.25
task,table,boundary_reminder,10,0.3,0,3,0.25
task,table,srs_only,10,-0.1,2,1,1.0
task,table,two_stage,10,-0.2,2,0,0.5
position,end,boundary_reminder,17,0.0,1,1,1.0
position,end,srs_only,17,-0.23529411764705882,4,0,0.125
position,end,two_stage,17,-0.23529411764705882,4,0,0.125
position,middle,boundary_reminder,17,0.058823529411764705,0,1,1.0
position,middle,srs_only,17,-0.23529411764705882,4,0,0.125
position,middle,two_stage,17,-0.23529411764705882,4,0,0.125
position,start,boundary_reminder,16,0.125,0,2,0.5
position,start,srs_only,16,-0.0625,2,1,1.0
position,start,two_stage,16,-0.1875,3,0,0.25
